"No.","Time","Source","Destination","Protocol","Length","Info"
"18","0.637917","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1 Ack=1 Win=258 Len=35 TSval=121596209 TSecr=37"
"48","1.636910","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=36 Ack=30 Win=258 Len=35 TSval=121596309 TSecr=37"
"75","2.455210","192.168.16.1","192.168.16.211","TCP","102","15002  >  1028 [PSH, ACK] Seq=71 Ack=59 Win=258 Len=36 TSval=121596391 TSecr=37"
"104","3.449585","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=107 Ack=86 Win=258 Len=35 TSval=121596491 TSecr=37"
"133","4.453523","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=142 Ack=115 Win=258 Len=35 TSval=121596591 TSecr=37"
"165","5.442106","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=177 Ack=144 Win=258 Len=35 TSval=121596690 TSecr=37"
"199","6.632532","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=212 Ack=173 Win=258 Len=35 TSval=121596809 TSecr=37"
"225","7.458205","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=247 Ack=202 Win=258 Len=35 TSval=121596891 TSecr=37"
"252","8.463186","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=282 Ack=231 Win=258 Len=35 TSval=121596992 TSecr=37"
"280","9.454233","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=317 Ack=260 Win=257 Len=35 TSval=121597091 TSecr=37"
"314","10.624934","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=352 Ack=289 Win=257 Len=35 TSval=121597208 TSecr=37"
"340","11.451809","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=387 Ack=318 Win=257 Len=35 TSval=121597291 TSecr=37"
"370","12.445055","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=422 Ack=347 Win=257 Len=35 TSval=121597390 TSecr=37"
"406","13.640104","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=457 Ack=376 Win=257 Len=35 TSval=121597510 TSecr=37"
"432","14.463246","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=492 Ack=405 Win=257 Len=35 TSval=121597592 TSecr=37"
"460","15.453440","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=527 Ack=434 Win=257 Len=35 TSval=121597691 TSecr=37"
"490","16.457689","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=562 Ack=463 Win=257 Len=35 TSval=121597791 TSecr=37"
"523","17.461343","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=597 Ack=492 Win=257 Len=35 TSval=121597892 TSecr=37"
"551","18.451592","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=632 Ack=521 Win=256 Len=35 TSval=121597991 TSecr=37"
